date,TX_C_city_mean,TN_C_city_mean,ERA5_t2m_max_C,ERA5_t2m_min_C,FG_ms_city_mean,PP_hPa_city_mean,NDVI_city,day_sin,day_cos,month
2020-01-01,4.678571428571429,-2.9654761904761906,3.718567,0.21429443,2.783783783783784,1033.1696969696968,0.4951833,0.017201575418260506,0.9998520419557735,1
2020-01-02,5.921428571428572,-4.25,3.5474243,-3.1270752,2.686486486486486,1027.1363636363635,0.4951833,0.03439806061360801,0.9994082116062598,1
2020-01-03,7.252380952380953,1.0750000000000002,6.6934204,0.6359863,4.87027027027027,1017.9454545454544,0.4951833,0.051584366869408364,0.9986686402879997,1
2020-01-04,5.9,1.3214285714285714,5.1173706,2.6992798,6.281081081081082,1019.2636363636364,0.4951833,0.06875540848113941,0.9976335468520451,1
2020-01-05,3.9047619047619055,-1.6380952380952385,3.3859863,-0.88879395,3.1918918918918924,1031.845454545455,0.4951833,0.08590610426133272,0.9963032375991965,1
2020-01-06,5.922619047619048,0.9904761904761904,5.2417603,3.2477417,3.135135135135136,1027.7242424242424,0.4951833,0.10303137904317879,0.9946781061893646,1
2020-01-07,5.069047619047619,-1.5452380952380953,4.60791,-1.3847656,3.086486486486486,1023.8757575757576,0.4951833,0.1201261651823505,0.9927586335250793,1
2020-01-08,8.21547619047619,3.1261904761904766,7.9991455,3.048767,4.633333333333334,1022.939393939394,0.4951833,0.13718540405660057,0.9905453876091833,1
2020-01-09,9.870238095238095,6.810714285714286,10.003754,7.1079407,3.638888888888889,1017.4454545454544,0.4951833,0.1542040475626894,0.988039023376751,1
2020-01-10,10.942857142857145,4.8047619047619055,10.432556,8.052734,4.808108108108109,1013.2454545454548,0.4951833,0.17117705961019986,0.985240282501282,1
2020-01-11,6.601190476190477,1.83452380952381,5.6405334,3.6057434,4.132432432432433,1028.448484848485,0.4951833,0.18809941761179758,0.9821499931752291,1
2020-01-12,6.404761904761905,0.7726190476190475,6.5416565,1.4378662,5.237837837837837,1021.8,0.4951833,0.20496611396949532,0.9787690698649216,1
2020-01-13,7.497619047619047,1.7904761904761908,7.513855,4.6553345,3.821621621621623,1019.6909090909091,0.4951833,0.22177215755648186,0.975098513039961,1
2020-01-14,10.09404761904762,2.020238095238095,9.770508,3.7690735,5.24864864864865,1011.781818181818,0.4951833,0.23851257519407648,0.9711394088771653,1
2020-01-15,13.03452380952381,7.1035714285714295,11.411102,8.820465,5.375675675675676,1013.687878787879,0.4951833,0.2551824131233728,0.9668929289391521,1
2020-01-16,10.733333333333334,1.7476190476190478,9.756653,5.1637573,2.994594594594594,1026.042424242424,0.4951833,0.2717767384711357,0.9623603298276545,1
2020-01-17,8.782142857142858,0.4404761904761904,6.9033813,2.8300781,3.475675675675676,1021.0,0.4951833,0.2882906407095177,0.9575429528116719,1
2020-01-18,6.910714285714286,1.9857142857142855,7.102722,4.9732056,3.791891891891892,1021.0363636363636,0.4951833,0.3047192331091634,0.9524422234305676,1
2020-01-19,4.9976190476190485,1.044047619047619,5.5828247,3.0051575,2.443243243243244,1032.2666666666669,0.4951833,0.321057654185271,0.9470596510722283,1
2020-01-20,4.748809523809524,-1.6428571428571428,3.658905,-0.35394287,2.502702702702703,1044.8666666666666,0.4951833,0.3373010691361842,0.9413968285264122,1
2020-01-21,5.5773809523809526,-1.3964285714285716,4.7619934,0.20440674,3.913513513513514,1040.1727272727271,0.4951833,0.3534446712740877,0.9354554315134164,1
2020-01-22,5.170238095238095,0.2464285714285714,5.7344055,1.6234741,4.072972972972973,1032.3060606060606,0.4951833,0.3694836834473831,0.9292372181882051,1
2020-01-23,5.413095238095239,-1.717857142857143,4.67276,1.8328857,2.2702702702702706,1032.9272727272728,0.4951833,0.38541335945432564,0.9227440286201427,1
2020-01-24,3.6821428571428574,-3.2511904761904766,3.2438965,-2.146637,2.8783783783783785,1023.3909090909092,0.4951833,0.4012289854475009,0.9159777842484877,1
2020-01-25,1.4119047619047622,-0.5142857142857143,2.130188,-0.06951904,3.021621621621622,1021.7333333333336,0.4951833,0.4169258813287287,0.908940487313808,1
2020-01-26,1.679761904761905,-1.5880952380952378,3.0524597,-1.9880371,2.3972972972972983,1019.4666666666668,0.4951833,0.4324994021339788,0.901634220265486,1
