date,TX_C_city_mean,TN_C_city_mean,RR_mm_city_mean,PP_hPa_city_mean,FG_ms_city_mean,NDVI_city,ERA5_tp_m,ERA5_u10_ms,ERA5_v10_ms,ERA5_t2m_max_C,ERA5_t2m_min_C,ERA5_t2m_max_C_anom,ERA5_t2m_min_C_anom,TX_C_city_mean_anom,TN_C_city_mean_anom,NDVI_city_anom
2000-01-01,9.600000000000001,3.0,0.0,1024.4,2.2,,,,,,,,,-11.840601744769806,-7.0453530716968,
2000-01-02,8.8,0.0,0.0,1026.3,2.3000000000000003,,,,,,,,,-12.640601744769807,-10.0453530716968,
2000-01-03,10.200000000000001,,0.0,1028.8,1.6,,,,,,,,,-11.240601744769807,,
2000-01-04,10.200000000000001,2.0,0.0,1027.3,1.4000000000000001,,,,,,,,,-11.240601744769807,-8.0453530716968,
2000-01-05,12.200000000000001,-1.2000000000000002,0.0,1023.8000000000001,0.7000000000000001,,,,,,,,,-9.240601744769807,-11.245353071696801,
2000-01-06,8.4,0.0,0.0,1024.6000000000001,1.2000000000000002,,,,,,,,,-13.040601744769807,-10.0453530716968,
2000-01-07,10.0,2.2,0.0,1024.5,1.2000000000000002,,,,,,,,,-11.440601744769808,-7.8453530716968,
2000-01-08,10.600000000000001,0.8,0.0,1024.5,0.6000000000000001,,,,,,,,,-10.840601744769806,-9.2453530716968,
2000-01-09,9.4,4.2,0.0,1023.6,0.7000000000000001,,,,,,,,,-12.040601744769807,-5.8453530716968,
2000-01-10,10.4,3.8000000000000003,0.0,1026.4,1.2000000000000002,,,,,,,,,-11.040601744769807,-6.245353071696799,
2000-01-11,14.600000000000001,2.0,0.0,1030.1000000000001,1.6,,,,,,,,,-6.840601744769806,-8.0453530716968,
2000-01-12,9.0,,1.0,1028.1000000000001,3.0,,,,,,,,,-12.440601744769808,,
2000-01-13,7.2,,8.0,1022.2,3.6,,,,,,,,,-14.240601744769808,,
2000-01-15,10.0,4.6000000000000005,0.0,1021.3000000000001,0.9,,,,,,,,,-11.440601744769808,-5.4453530716967995,
2000-01-16,10.0,1.8,0.0,1022.1,1.6,,,,,,,,,-11.440601744769808,-8.2453530716968,
2000-01-17,7.800000000000001,,0.0,1018.8000000000001,2.3000000000000003,,,,,,,,,-13.640601744769807,,
2000-01-18,12.200000000000001,0.8,0.0,1008.8000000000001,1.6,,,,,,,,,-9.240601744769807,-9.2453530716968,
2000-01-19,9.8,0.2,0.0,1014.0,2.5,,,,,,,,,-11.640601744769807,-9.8453530716968,
2000-01-20,10.200000000000001,3.0,0.0,1026.7,1.4000000000000001,,,,,,,,,-11.240601744769807,-7.0453530716968,
2000-01-21,10.200000000000001,,2.0,1019.4000000000001,2.3000000000000003,,,,,,,,,-11.240601744769807,,
2000-01-22,7.6000000000000005,,6.0,1013.5,2.9000000000000004,,,,,,,,,-13.840601744769806,,
2000-01-23,7.6000000000000005,,6.0,999.9000000000001,5.0,,,,,,,,,-13.840601744769806,,
2000-01-24,6.2,1.2000000000000002,0.0,1010.5,2.9000000000000004,,,,,,,,,-15.240601744769808,-8.845353071696799,
2000-01-25,3.6,-0.3333333333333335,0.0,1022.0,2.5,,,,,,,,,-17.840601744769806,-10.378686405030134,
2000-01-26,5.6000000000000005,0.0,0.0,1029.8,1.6,,,,,,,,,-15.840601744769806,-10.0453530716968,
2000-01-27,8.0,0.3999999999999999,0.0,1033.3,1.2000000000000002,,,,,,,,,-13.440601744769808,-9.6453530716968,
